,,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,servious_critical,total_cases_1M_pop
Afghanistan,2020-03-18,22.0,0.0,0.0,0.0,1.0,21.0,0.0,0.6
Albania,2020-03-18,59.0,4.0,2.0,1.0,0.0,57.0,2.0,21.0
Algeria,2020-03-18,72.0,11.0,6.0,1.0,10.0,56.0,0.0,2.0
Andorra,2020-03-18,39.0,0.0,0.0,0.0,1.0,38.0,0.0,505.0
Antigua and Barbuda,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0
Argentina,2020-03-18,79.0,0.0,2.0,0.0,3.0,74.0,1.0,2.0
Armenia,2020-03-18,102.0,24.0,0.0,0.0,1.0,101.0,2.0,34.0
Aruba,2020-03-18,4.0,1.0,0.0,0.0,0.0,4.0,0.0,37.0
Australia,2020-03-18,565.0,110.0,6.0,1.0,43.0,516.0,1.0,22.0
Austria,2020-03-18,1646.0,314.0,4.0,0.0,9.0,1633.0,12.0,183.0
Azerbaijan,2020-03-18,34.0,0.0,1.0,0.0,6.0,27.0,0.0,3.0
Bahamas,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Bahrain,2020-03-18,255.0,14.0,1.0,0.0,88.0,166.0,3.0,150.0
Bangladesh,2020-03-18,14.0,4.0,1.0,1.0,3.0,10.0,0.0,0.09
Barbados,2020-03-18,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0
Belarus,2020-03-18,51.0,15.0,0.0,0.0,5.0,46.0,0.0,5.0
Belgium,2020-03-18,1486.0,243.0,14.0,4.0,31.0,1441.0,33.0,128.0
Benin,2020-03-18,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2
Bhutan,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Bolivia,2020-03-18,12.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
Bosnia and Herzegovina,2020-03-18,39.0,5.0,0.0,0.0,2.0,37.0,0.0,12.0
Brazil,2020-03-18,350.0,4.0,1.0,0.0,2.0,347.0,18.0,2.0
Brunei,2020-03-18,68.0,12.0,0.0,0.0,0.0,68.0,2.0,155.0
Bulgaria,2020-03-18,92.0,11.0,2.0,0.0,0.0,90.0,0.0,13.0
Burkina Faso,2020-03-18,20.0,5.0,1.0,1.0,0.0,19.0,0.0,1.0
CAR,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2
Cambodia,2020-03-18,35.0,2.0,0.0,0.0,1.0,34.0,0.0,2.0
Cameroon,2020-03-18,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4
Canada,2020-03-18,598.0,0.0,8.0,0.0,12.0,578.0,1.0,16.0
Cayman Islands,2020-03-18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0
Channel Islands,2020-03-18,6.0,0.0,0.0,0.0,0.0,6.0,0.0,35.0
Chile,2020-03-18,238.0,37.0,0.0,0.0,0.0,238.0,3.0,12.0
Colombia,2020-03-18,93.0,28.0,0.0,0.0,1.0,92.0,0.0,2.0
Congo,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2
Costa Rica,2020-03-18,50.0,0.0,0.0,0.0,0.0,50.0,3.0,10.0
Croatia,2020-03-18,81.0,12.0,0.0,0.0,5.0,76.0,0.0,20.0
Cuba,2020-03-18,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.6
Curaçao,2020-03-18,3.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0
Cyprus,2020-03-18,49.0,0.0,0.0,0.0,0.0,49.0,1.0,41.0
Czechia,2020-03-18,464.0,30.0,0.0,0.0,3.0,461.0,5.0,43.0
DRC,2020-03-18,7.0,4.0,0.0,0.0,0.0,7.0,0.0,0.08
Denmark,2020-03-18,1044.0,67.0,4.0,0.0,1.0,1039.0,24.0,180.0
Diamond Princess,2020-03-18,712.0,0.0,7.0,0.0,456.0,249.0,14.0,0.0
Djibouti,2020-03-18,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Dominican Republic,2020-03-18,21.0,0.0,1.0,0.0,0.0,20.0,0.0,2.0
Ecuador,2020-03-18,155.0,44.0,2.0,0.0,0.0,153.0,2.0,9.0
Egypt,2020-03-18,196.0,0.0,6.0,0.0,26.0,164.0,0.0,2.0
Equatorial Guinea,2020-03-18,4.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0
Estonia,2020-03-18,258.0,33.0,0.0,0.0,1.0,257.0,1.0,194.0
Eswatini,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9
Ethiopia,2020-03-18,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.05
Faeroe Islands,2020-03-18,58.0,11.0,0.0,0.0,1.0,57.0,0.0,1187.0
Finland,2020-03-18,359.0,37.0,0.0,0.0,10.0,349.0,2.0,65.0
French Guiana,2020-03-18,11.0,0.0,0.0,0.0,0.0,11.0,0.0,37.0
French Polynesia,2020-03-18,3.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0
Gabon,2020-03-18,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
Gambia,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4
Georgia,2020-03-18,38.0,4.0,0.0,0.0,1.0,37.0,1.0,10.0
Ghana,2020-03-18,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.2
Gibraltar,2020-03-18,8.0,5.0,0.0,0.0,2.0,6.0,0.0,237.0
Greece,2020-03-18,387.0,0.0,5.0,0.0,14.0,368.0,11.0,37.0
Greenland,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0
Guadeloupe,2020-03-18,27.0,9.0,0.0,0.0,0.0,27.0,0.0,67.0
Guam,2020-03-18,8.0,3.0,0.0,0.0,0.0,8.0,0.0,47.0
Guatemala,2020-03-18,8.0,0.0,1.0,0.0,0.0,7.0,0.0,0.4
Guinea,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08
Guyana,2020-03-18,4.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0
Honduras,2020-03-18,9.0,1.0,0.0,0.0,0.0,9.0,0.0,0.9
Hong Kong,2020-03-18,181.0,13.0,4.0,0.0,92.0,85.0,4.0,24.0
Hungary,2020-03-18,58.0,8.0,1.0,0.0,2.0,55.0,4.0,6.0
Iceland,2020-03-18,250.0,3.0,0.0,0.0,5.0,245.0,1.0,733.0
India,2020-03-18,155.0,12.0,3.0,0.0,14.0,138.0,0.0,0.1
Indonesia,2020-03-18,227.0,55.0,19.0,12.0,11.0,197.0,0.0,0.8
Iraq,2020-03-18,164.0,10.0,12.0,1.0,41.0,111.0,0.0,4.0
Ireland,2020-03-18,292.0,0.0,2.0,0.0,5.0,285.0,6.0,59.0
Israel,2020-03-18,433.0,96.0,0.0,0.0,11.0,422.0,6.0,50.0
Ivory Coast,2020-03-18,6.0,2.0,0.0,0.0,1.0,5.0,0.0,0.2
Jamaica,2020-03-18,13.0,0.0,0.0,0.0,2.0,11.0,0.0,4.0
Japan,2020-03-18,899.0,21.0,29.0,0.0,144.0,726.0,41.0,7.0
Jordan,2020-03-18,52.0,4.0,0.0,0.0,1.0,51.0,0.0,5.0
Kazakhstan,2020-03-18,36.0,3.0,0.0,0.0,0.0,36.0,0.0,2.0
Kenya,2020-03-18,7.0,3.0,0.0,0.0,0.0,7.0,0.0,0.1
Kuwait,2020-03-18,142.0,12.0,0.0,0.0,15.0,127.0,4.0,33.0
Kyrgyzstan,2020-03-18,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.5
Latvia,2020-03-18,71.0,11.0,0.0,0.0,1.0,70.0,0.0,38.0
Lebanon,2020-03-18,133.0,9.0,4.0,0.0,4.0,125.0,3.0,19.0
Liberia,2020-03-18,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4
Liechtenstein,2020-03-18,19.0,0.0,0.0,0.0,0.0,19.0,0.0,498.0
Lithuania,2020-03-18,33.0,7.0,0.0,0.0,1.0,32.0,1.0,12.0
Luxembourg,2020-03-18,203.0,63.0,2.0,1.0,0.0,201.0,1.0,324.0
Macao,2020-03-18,15.0,2.0,0.0,0.0,10.0,5.0,0.0,23.0
Malaysia,2020-03-18,790.0,117.0,2.0,0.0,60.0,728.0,15.0,24.0
Maldives,2020-03-18,13.0,0.0,0.0,0.0,0.0,13.0,0.0,24.0
Malta,2020-03-18,48.0,10.0,0.0,0.0,2.0,46.0,0.0,109.0
Martinique,2020-03-18,19.0,4.0,1.0,0.0,0.0,18.0,0.0,51.0
Mauritania,2020-03-18,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4
Mayotte,2020-03-18,3.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0
Mexico,2020-03-18,93.0,11.0,0.0,0.0,4.0,89.0,1.0,0.7
Moldova,2020-03-18,30.0,0.0,1.0,1.0,1.0,28.0,2.0,7.0
Monaco,2020-03-18,9.0,0.0,0.0,0.0,0.0,9.0,0.0,229.0
Mongolia,2020-03-18,6.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0
Montenegro,2020-03-18,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Montserrat,2020-03-18,1.0,1.0,0.0,0.0,0.0,1.0,0.0,200.0
Morocco,2020-03-18,49.0,5.0,2.0,0.0,1.0,46.0,1.0,1.0
Namibia,2020-03-18,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8
Nepal,2020-03-18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03
Netherlands,2020-03-18,2051.0,346.0,58.0,15.0,2.0,1991.0,45.0,120.0
New Caledonia,2020-03-18,2.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0
New Zealand,2020-03-18,20.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0
Nigeria,2020-03-18,8.0,5.0,0.0,0.0,1.0,7.0,0.0,0.04
North Macedonia,2020-03-18,35.0,4.0,0.0,0.0,1.0,34.0,1.0,17.0
Norway,2020-03-18,1546.0,75.0,6.0,3.0,1.0,1539.0,27.0,285.0
Oman,2020-03-18,33.0,0.0,0.0,0.0,12.0,21.0,0.0,6.0
Pakistan,2020-03-18,272.0,25.0,0.0,0.0,2.0,270.0,0.0,1.0
Palestine,2020-03-18,44.0,0.0,0.0,0.0,0.0,44.0,0.0,9.0
Panama,2020-03-18,86.0,17.0,1.0,0.0,0.0,85.0,7.0,20.0
Paraguay,2020-03-18,11.0,2.0,0.0,0.0,0.0,11.0,1.0,2.0
Peru,2020-03-18,117.0,0.0,0.0,0.0,1.0,116.0,8.0,4.0
Philippines,2020-03-18,202.0,15.0,17.0,3.0,4.0,181.0,1.0,2.0
Poland,2020-03-18,251.0,13.0,5.0,0.0,1.0,245.0,3.0,7.0
Portugal,2020-03-18,642.0,194.0,2.0,1.0,4.0,636.0,18.0,63.0
Puerto Rico,2020-03-18,5.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0
Qatar,2020-03-18,442.0,0.0,0.0,0.0,4.0,438.0,0.0,153.0
Romania,2020-03-18,246.0,29.0,0.0,0.0,19.0,227.0,5.0,13.0
Russia,2020-03-18,147.0,33.0,0.0,0.0,8.0,139.0,0.0,1.0
Rwanda,2020-03-18,8.0,1.0,0.0,0.0,0.0,8.0,0.0,0.6
Réunion,2020-03-18,12.0,3.0,0.0,0.0,0.0,12.0,0.0,13.0
Saint Lucia,2020-03-18,2.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0
Saint Martin,2020-03-18,3.0,1.0,0.0,0.0,0.0,3.0,0.0,78.0
San Marino,2020-03-18,119.0,0.0,11.0,0.0,4.0,104.0,11.0,3507.0
Saudi Arabia,2020-03-18,171.0,0.0,0.0,0.0,6.0,165.0,0.0,5.0
Senegal,2020-03-18,31.0,4.0,0.0,0.0,2.0,29.0,0.0,2.0
Serbia,2020-03-18,83.0,11.0,0.0,0.0,1.0,82.0,4.0,9.0
Seychelles,2020-03-18,4.0,0.0,0.0,0.0,0.0,4.0,0.0,41.0
Singapore,2020-03-18,313.0,47.0,0.0,0.0,114.0,199.0,14.0,54.0
Slovakia,2020-03-18,105.0,8.0,0.0,0.0,0.0,105.0,2.0,19.0
Slovenia,2020-03-18,286.0,11.0,1.0,0.0,0.0,285.0,4.0,138.0
Somalia,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06
South Africa,2020-03-18,116.0,31.0,0.0,0.0,0.0,116.0,0.0,2.0
Sri Lanka,2020-03-18,51.0,7.0,0.0,0.0,3.0,48.0,0.0,2.0
St. Barth,2020-03-18,3.0,0.0,0.0,0.0,0.0,3.0,0.0,304.0
St. Vincent Grenadines,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
Sudan,2020-03-18,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05
Suriname,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Sweden,2020-03-18,1292.0,96.0,8.0,0.0,1.0,1283.0,12.0,128.0
Switzerland,2020-03-18,3070.0,328.0,27.0,0.0,15.0,3028.0,0.0,355.0
Taiwan,2020-03-18,100.0,23.0,1.0,0.0,20.0,79.0,0.0,4.0
Tanzania,2020-03-18,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.05
Thailand,2020-03-18,212.0,35.0,1.0,0.0,41.0,170.0,1.0,3.0
Togo,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1
Trinidad and Tobago,2020-03-18,7.0,2.0,0.0,0.0,0.0,7.0,0.0,5.0
Tunisia,2020-03-18,29.0,2.0,0.0,0.0,1.0,28.0,2.0,2.0
Turkey,2020-03-18,98.0,0.0,1.0,0.0,0.0,97.0,0.0,1.0
U.S. Virgin Islands,2020-03-18,2.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0
UAE,2020-03-18,113.0,0.0,0.0,0.0,26.0,87.0,2.0,11.0
Ukraine,2020-03-18,14.0,0.0,2.0,0.0,0.0,12.0,0.0,0.3
Uruguay,2020-03-18,50.0,0.0,0.0,0.0,0.0,50.0,0.0,14.0
Uzbekistan,2020-03-18,15.0,4.0,0.0,0.0,0.0,15.0,0.0,0.4
Vatican City,2020-03-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1248.0
Venezuela,2020-03-18,36.0,3.0,0.0,0.0,0.0,36.0,0.0,1.0
Vietnam,2020-03-18,75.0,9.0,0.0,0.0,16.0,59.0,0.0,0.8
Zambia,2020-03-18,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1
china,2020-03-18,80894.0,13.0,3237.0,11.0,69614.0,8043.0,2622.0,56.0
france,2020-03-18,7730.0,0.0,175.0,0.0,602.0,6953.0,699.0,118.0
germany,2020-03-18,11302.0,1935.0,27.0,1.0,86.0,11189.0,2.0,135.0
iran,2020-03-18,17361.0,1192.0,1135.0,147.0,5389.0,10837.0,0.0,207.0
italy,2020-03-18,31506.0,0.0,2503.0,0.0,2941.0,26062.0,2060.0,521.0
south-korea,2020-03-18,8413.0,93.0,84.0,3.0,1540.0,6789.0,59.0,164.0
spain,2020-03-18,13910.0,2084.0,623.0,90.0,1081.0,12206.0,563.0,298.0
uk,2020-03-18,2626.0,676.0,71.0,0.0,65.0,2490.0,20.0,39.0
us,2020-03-18,7398.0,987.0,116.0,7.0,106.0,7176.0,12.0,22.0
